samp_name,source_mat_id,id,sample_link,EMSL_store_temp,abs_air_humidity,address,adj_room,aero_struc,agrochem_addition,air_temp,air_temp_regm,al_sat,al_sat_meth,alt,amount_light,analysis_type,annual_precpt,annual_temp,arch_struc,avg_dew_point,avg_occup,avg_temp,bathroom_count,bedroom_count,biotic_regm,biotic_relationship,build_docs,build_occup_type,building_setting,built_struc_age,built_struc_set,built_struc_type,carb_dioxide,carb_nitro_ratio,ceil_area,ceil_cond,ceil_finish_mat,ceil_struc,ceil_texture,ceil_thermal_mass,ceil_type,ceil_water_mold,chem_administration,climate_environment,collection_date,collection_date_inc,collection_time,collection_time_inc,cool_syst_id,crop_rotation,cur_land_use,cur_vegetation,cur_vegetation_meth,date_last_rain,depth,dew_point,dna_absorb1,dna_absorb2,dna_collect_site,dna_concentration,dna_cont_type,dna_cont_well,dna_container_ID,dna_dnase,dna_isolate_meth,dna_organisms,dna_project_contact,dna_samp_ID,dna_sample_format,dna_sample_name,dna_seq_project,dna_seq_project_PI,dna_seq_project_name,dna_volume,door_comp_type,door_cond,door_direct,door_loc,door_mat,door_move,door_size,door_type,door_type_metal,door_type_wood,door_water_mold,drainage_class,drawings,ecosystem,ecosystem_category,ecosystem_subtype,ecosystem_type,elev,elevator,env_broad_scale,env_local_scale,env_medium,env_package,escalator,exp_duct,exp_pipe,experimental_factor,experimental_factor_other,ext_door,ext_wall_orient,ext_window_orient,extreme_event,fao_class,filter_method,filter_type,fire,fireplace_type,flooding,floor_age,floor_area,floor_cond,floor_count,floor_finish_mat,floor_struc,floor_thermal_mass,floor_water_mold,freq_clean,freq_cook,furniture,gaseous_environment,gender_restroom,geo_loc_name,growth_facil,hall_count,handidness,heat_cool_type,heat_deliv_loc,heat_sys_deliv_meth,heat_system_id,heavy_metals,heavy_metals_meth,height_carper_fiber,horizon_meth,humidity_regm,indoor_space,indoor_surf,inside_lux,int_wall_cond,isotope_exposure,last_clean,lat_lon,light_regm,light_type,link_class_info,link_climate_info,local_class,local_class_meth,max_occup,mech_struc,micro_biomass_C_meth,micro_biomass_N_meth,micro_biomass_meth,microbial_biomass,microbial_biomass_C,microbial_biomass_N,misc_param,non_microb_biomass,non_microb_biomass_method,number_pets,number_plants,number_resident,occup_density_samp,occup_document,occup_samp,org_matter,org_nitro,org_nitro_method,organism_count,other_treatment,oxy_stat_samp,ph,ph_meth,phosphate,pres_animal_insect,prev_land_use_meth,previous_land_use,profile_position,project_ID,proposal_dna,quad_pos,rel_air_humidity,rel_humidity_out,rel_samp_loc,rel_to_oxygen,replicate_number,room_air_exch_rate,room_architec_elem,room_condt,room_connected,room_count,room_dim,room_door_dist,room_door_share,room_hallway,room_loc,room_moist_dam_hist,room_net_area,room_occup,room_samp_pos,room_type,room_vol,room_wall_share,room_window_count,salinity,salinity_meth,samp_collec_device,samp_collec_method,samp_floor,samp_mat_process,samp_room_id,samp_size,samp_sort_meth,samp_store_temp,samp_time_out,samp_type,samp_weather,sample_shipped,season,season_precpt,season_temp,season_use,shad_dev_water_mold,shading_device_cond,shading_device_loc,shading_device_mat,shading_device_type,sieving,size_frac,size_frac_low,size_frac_up,slope_aspect,slope_gradient,soil_horizon,soil_text_measure,soil_texture_meth,soil_type,soil_type_meth,space_typ_state,specific,specific_ecosystem,specific_humidity,start_date_inc,start_time_inc,store_cond,substructure_type,surf_air_cont,surf_humidity,surf_material,surf_moisture,surf_moisture_ph,surf_temp,technical_reps,temp,temp_out,tillage,tot_carb,tot_nitro_cont_meth,tot_nitro_content,tot_org_c_meth,tot_org_carb,tot_phosp,train_line,train_stat_loc,train_stop_loc,typ_occup_density,ventilation_type,vis_media,wall_area,wall_const_type,wall_finish_mat,wall_height,wall_loc,wall_surf_treatment,wall_texture,wall_thermal_mass,wall_water_mold,water_cont_soil_meth,water_content,water_feat_size,water_feat_type,watering_regm,weekday,window_cond,window_cover,window_horiz_pos,window_loc,window_mat,window_open_freq,window_size,window_status,window_type,window_vert_pos,window_water_mold
qiita_sid_13114:13114.metcalf.40.s004,,nmdc:fk0sgcw45,95550192-87a5-4215-b373-ee6c8f9a70c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,Terrestrial,Sand,Soil,1624.1 m,,__temperate savanna biome [ENVO:01000189],__dry valley [ENVO:00000128],bare soil [ENVO:01001616],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA: State of Colorado,City of Boulder",other,,,,,,,,,,,,,,,,,,40.015 -105.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80 C,,,,,,,,,,,,,,,,,,,,,,,,,,,Desert,,,,frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qiita_sid_13114:13114.metcalf.40.s012,,nmdc:fk0jp3m68,95550192-87a5-4215-b373-ee6c8f9a70c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,Terrestrial,Sand,Soil,1624.1 m,,__temperate savanna biome [ENVO:01000189],plain [ENVO:00000086],bare soil [ENVO:01001616],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA: State of Colorado,City of Boulder",other,,,,,,,,,,,,,,,,,,40.015 -105.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80 C,,,,,,,,,,,,,,,,,,,,,,,,,,,Desert,,,,frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qiita_sid_13114:13114.metcalf.40.s014,,nmdc:fk0xzwp96,95550192-87a5-4215-b373-ee6c8f9a70c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,Terrestrial,Organic layer,Soil,113.1 m,,__temperate woodland biome [ENVO:01000221],plain [ENVO:00000086],bare soil [ENVO:01001616],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA: State of Texas,City of Huntsville",other,,,,,,,,,,,,,,,,,,30.71308 -95.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80 C,,,,,,,,,,,,,,,,,,,,,,,,,,,Grasslands,,,,frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qiita_sid_13114:13114.rohwer.84.s001,,nmdc:fk0syt979,95550192-87a5-4215-b373-ee6c8f9a70c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,Terrestrial,Soil crust,Soil,0 m,,tundra biome [ENVO:01000180],__glacial valley [ENVO:00000248],bare soil [ENVO:01001616],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arctic Ocean:Franz Josef Land,Hook Island",other,,,,,,,,,,,,,,,,,,80.33333333 52.78333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80 C,,,,,,,,,,,,,,,,,,,,,,,,,,,Forest soil,,,,frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qiita_sid_13114:13114.rohwer.84.s002,,nmdc:fk0fm3290,95550192-87a5-4215-b373-ee6c8f9a70c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,Terrestrial,Soil crust,Soil,0 m,,tundra biome [ENVO:01000180],__glacial valley [ENVO:00000248],bare soil [ENVO:01001616],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arctic Ocean:Franz Josef Land,Hook Island",other,,,,,,,,,,,,,,,,,,80.33333333 52.78333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80 C,,,,,,,,,,,,,,,,,,,,,,,,,,,Permafrost,,,,frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qiita_sid_13114:13114.rohwer.84.s003,,nmdc:fk0sy0z84,95550192-87a5-4215-b373-ee6c8f9a70c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,Terrestrial,Soil crust,Soil,0 m,,tundra biome [ENVO:01000180],__glacial valley [ENVO:00000248],bare soil [ENVO:01001616],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arctic Ocean:Franz Josef Land,Hook Island",other,,,,,,,,,,,,,,,,,,80.33333333 52.78333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80 C,,,,,,,,,,,,,,,,,,,,,,,,,,,Permafrost,,,,frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qiita_sid_13114:13114.rohwer.84.s004,,nmdc:fk0m84d41,95550192-87a5-4215-b373-ee6c8f9a70c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,Terrestrial,Soil crust,Soil,0 m,,tundra biome [ENVO:01000180],__glacial valley [ENVO:00000248],bare soil [ENVO:01001616],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arctic Ocean:Franz Josef Land,Hook Island",other,,,,,,,,,,,,,,,,,,80.33333333 52.78333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80 C,,,,,,,,,,,,,,,,,,,,,,,,,,,Permafrost,,,,frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qiita_sid_13114:13114.rohwer.84.s005,,nmdc:fk04jwc09,95550192-87a5-4215-b373-ee6c8f9a70c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,Terrestrial,Soil crust,Soil,0 m,,tundra biome [ENVO:01000180],__glacial valley [ENVO:00000248],bare soil [ENVO:01001616],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arctic Ocean:Franz Josef Land,Luigi island",other,,,,,,,,,,,,,,,,,,80.76666667 54.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80 C,,,,,,,,,,,,,,,,,,,,,,,,,,,Permafrost,,,,frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qiita_sid_13114:13114.rohwer.84.s006,,nmdc:fk036ck19,95550192-87a5-4215-b373-ee6c8f9a70c0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,Terrestrial,Soil crust,Soil,0 m,,tundra biome [ENVO:01000180],__glacial valley [ENVO:00000248],bare soil [ENVO:01001616],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arctic Ocean:Franz Josef Land,Luigi island",other,,,,,,,,,,,,,,,,,,80.76666667 54.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80 C,,,,,,,,,,,,,,,,,,,,,,,,,,,Permafrost,,,,frozen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESC-133-CL2_62_7_SC,Bio-Scales:8c2cedf6-e93a-4d67-a2d7-1c43bdde4979,nmdc:fk0fpqj29,f9882a44-8aa0-40bf-9084-0fdcfe41243e,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-09,,04:03:00,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,,Bulk soil,Soil,62 meter,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA CL,experimental_garden,,,,,,,,,,,,,,,,,,46.121519 -123.270589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,Forest soil,,,,fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BESC-133-Cl2B-62-7-SC,Bio-Scales:a576d0b9-3fc3-404a-9a9b-b670d325a27e,nmdc:fk0c9fh28,f9882a44-8aa0-40bf-9084-0fdcfe41243e,,,,,,,,,,,,,natural organic matter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environmental,,Bulk soil,Soil,62 meter,,anthropogenic terrestrial biome [ENVO:01000219],agricultural field [ENVO:00000114],agricultural soil [ENVO:00002259],soil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA CL,experimental_garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,Forest soil,,,,fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
